match_id,date,season,round,team,opponent,is_home,own_score,opp_score,result,tries,tackles_attempted,tackles_made,tackle_success_rate,carries,carry_metres,lineout_throws,lineout_won,lineout_success_rate,scrum_attempts,scrum_won,scrum_success_rate,turnovers_conceded,turnovers_won,penalties_conceded,yellow_cards,red_cards,possession_seconds,line_breaks,entries_22,entries_22_tries
945072,2025-01-18,2025,5,BlackRams Tokyo,Kubota Spears,N,18,26,L,2,155,133,0.8581,119,845.0,14,13,0.9286,48,48,1.0,11,12,11,1,0,1026.9,8,8,2
945072,2025-01-18,2025,5,Kubota Spears,BlackRams Tokyo,Y,26,18,W,3,192,163,0.849,106,771.0,16,16,1.0,48,48,1.0,12,11,9,0,0,1098.6,8,8,3
945073,2025-01-18,2025,5,Mitsubishi Sagamihara Dynaboars,Yokohama Canon Eagles,N,21,47,L,3,182,141,0.7747,124,688.0,8,8,1.0,70,54,0.7714,8,11,20,1,0,970.6,5,4,3
945074,2025-01-18,2025,5,Shizuoka BlueRevs,Toshiba Brave Lupus Tokyo,Y,34,28,W,6,192,168,0.875,125,923.0,16,12,0.75,72,72,1.0,10,17,10,0,0,990.5,8,10,6
945074,2025-01-18,2025,5,Toshiba Brave Lupus Tokyo,Shizuoka BlueRevs,N,28,34,L,4,188,166,0.883,119,961.0,10,10,1.0,47,40,0.8511,17,10,12,1,0,902.2,5,10,4
945073,2025-01-18,2025,5,Yokohama Canon Eagles,Mitsubishi Sagamihara Dynaboars,Y,47,21,W,7,209,194,0.9282,104,789.0,23,20,0.8696,48,48,1.0,11,8,5,0,0,952.4,7,12,7
945075,2025-01-19,2025,5,Kobelco Kobe Steelers,Urayasu D-Rocks,Y,50,22,W,7,142,122,0.8592,154,1209.0,16,15,0.9375,48,32,0.6667,11,7,12,0,0,1189.1,9,12,7
945077,2025-01-19,2025,5,Mie Honda Heat,Tokyo Sungoliath,Y,19,27,L,3,167,140,0.8383,157,1204.0,22,20,0.9091,24,24,1.0,12,5,12,1,0,1414.6,4,5,3
945076,2025-01-19,2025,5,Saitama Wild Knights,Toyota Verblitz,N,38,22,W,5,191,167,0.8743,110,847.0,11,9,0.8182,82,74,0.9024,11,10,13,0,0,1005.0,6,11,5
945077,2025-01-19,2025,5,Tokyo Sungoliath,Mie Honda Heat,N,27,19,W,2,270,235,0.8704,107,786.0,9,9,1.0,31,31,1.0,5,12,11,2,0,914.7,7,10,2
945076,2025-01-19,2025,5,Toyota Verblitz,Saitama Wild Knights,Y,22,38,L,4,178,162,0.9101,147,887.0,17,12,0.7059,48,48,1.0,10,11,9,0,0,1025.9,6,8,4
945075,2025-01-19,2025,5,Urayasu D-Rocks,Kobelco Kobe Steelers,N,22,50,L,3,232,207,0.8922,86,632.0,10,8,0.8,56,48,0.8571,7,11,11,0,0,876.3,6,6,3
945082,2025-02-01,2025,6,BlackRams Tokyo,Kobelco Kobe Steelers,N,15,44,L,2,175,137,0.7829,119,925.0,21,14,0.6667,48,40,0.8333,16,18,12,1,0,935.0,6,13,2
945082,2025-02-01,2025,6,Kobelco Kobe Steelers,BlackRams Tokyo,Y,44,15,W,6,178,150,0.8427,102,944.0,15,13,0.8667,55,55,1.0,18,16,15,1,0,889.4,9,13,6
945079,2025-02-01,2025,6,Kubota Spears,Mitsubishi Sagamihara Dynaboars,N,40,12,W,6,119,106,0.8908,95,800.0,19,19,1.0,64,56,0.875,10,11,9,0,0,964.0,7,14,6
945079,2025-02-01,2025,6,Mitsubishi Sagamihara Dynaboars,Kubota Spears,Y,12,40,L,2,151,130,0.8609,79,650.0,13,13,1.0,64,40,0.625,11,10,17,0,0,792.8,1,5,2
945078,2025-02-01,2025,6,Saitama Wild Knights,Urayasu D-Rocks,Y,53,26,W,7,192,153,0.7969,151,1139.0,12,9,0.75,71,63,0.8873,6,13,8,1,0,1036.5,8,14,7
945080,2025-02-01,2025,6,Shizuoka BlueRevs,Tokyo Sungoliath,Y,14,33,L,2,238,201,0.8445,139,991.0,15,12,0.8,64,64,1.0,15,14,17,0,0,980.3,3,7,2
945080,2025-02-01,2025,6,Tokyo Sungoliath,Shizuoka BlueRevs,N,33,14,W,4,207,185,0.8937,141,1053.0,19,19,1.0,48,48,1.0,14,15,10,0,0,1118.1,7,13,4
945081,2025-02-01,2025,6,Toyota Verblitz,Yokohama Canon Eagles,Y,20,24,L,2,150,128,0.8533,165,1101.0,10,9,0.9,88,80,0.9091,8,12,15,1,0,1332.3,7,4,2
945078,2025-02-01,2025,6,Urayasu D-Rocks,Saitama Wild Knights,N,26,53,L,4,225,189,0.84,112,944.0,11,9,0.8182,72,56,0.7778,13,6,11,0,0,908.6,13,6,4
945081,2025-02-01,2025,6,Yokohama Canon Eagles,Toyota Verblitz,N,24,20,W,3,276,239,0.8659,95,712.0,15,11,0.7333,32,32,1.0,12,8,10,0,0,830.5,4,11,3
945083,2025-02-02,2025,6,Mie Honda Heat,Toshiba Brave Lupus Tokyo,Y,12,35,L,2,183,148,0.8087,112,937.0,15,15,1.0,91,91,1.0,10,13,11,0,0,1022.6,4,11,2
945083,2025-02-02,2025,6,Toshiba Brave Lupus Tokyo,Mie Honda Heat,N,35,12,W,5,193,160,0.829,115,956.0,13,11,0.8462,54,54,1.0,13,10,11,1,0,958.4,10,11,5
945089,2025-02-08,2025,7,BlackRams Tokyo,Shizuoka BlueRevs,Y,24,32,L,3,198,173,0.8737,77,446.0,11,8,0.7273,96,80,0.8333,12,17,19,1,0,672.2,3,8,3
945086,2025-02-08,2025,7,Kobelco Kobe Steelers,Tokyo Sungoliath,Y,29,31,L,5,157,137,0.8726,132,983.0,20,19,0.95,31,23,0.7419,12,5,9,1,0,1044.0,8,10,5
945085,2025-02-08,2025,7,Kubota Spears,Yokohama Canon Eagles,N,30,22,W,4,188,152,0.8085,112,775.0,16,14,0.875,72,64,0.8889,18,17,10,0,0,1023.2,8,15,4
945084,2025-02-08,2025,7,Mie Honda Heat,Urayasu D-Rocks,N,26,31,L,4,142,119,0.838,160,988.0,17,13,0.7647,72,64,0.8889,15,8,10,0,0,1287.6,4,13,4
945089,2025-02-08,2025,7,Shizuoka BlueRevs,BlackRams Tokyo,N,32,24,W,5,135,116,0.8593,119,701.0,20,19,0.95,56,56,1.0,17,12,9,1,0,1122.7,7,16,5
945086,2025-02-08,2025,7,Tokyo Sungoliath,Kobelco Kobe Steelers,N,31,29,W,4,196,167,0.852,97,647.0,12,12,1.0,72,56,0.7778,5,12,11,0,0,908.7,4,8,4
945084,2025-02-08,2025,7,Urayasu D-Rocks,Mie Honda Heat,Y,31,26,W,5,249,221,0.8876,82,593.0,14,12,0.8571,64,48,0.75,8,15,15,0,0,738.8,6,9,5
945085,2025-02-08,2025,7,Yokohama Canon Eagles,Kubota Spears,Y,22,30,L,3,200,164,0.82,117,824.0,11,9,0.8182,47,47,1.0,17,18,11,1,0,1011.5,8,8,3
945088,2025-02-09,2025,7,Mitsubishi Sagamihara Dynaboars,Toyota Verblitz,Y,44,40,W,6,225,196,0.8711,154,845.0,7,4,0.5714,64,64,1.0,8,13,8,0,0,1257.8,8,11,6
945087,2025-02-09,2025,7,Saitama Wild Knights,Toshiba Brave Lupus Tokyo,Y,28,28,D,3,217,180,0.8295,167,1167.0,14,12,0.8571,48,48,1.0,12,11,5,1,0,1326.6,8,13,3
945087,2025-02-09,2025,7,Toshiba Brave Lupus Tokyo,Saitama Wild Knights,N,28,28,D,4,294,265,0.9014,142,1216.0,11,7,0.6364,80,72,0.9,11,12,13,0,0,1122.4,8,9,4
